object,ch,prop,frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nuc,/home/data/HeLa/Set0_2/processed/*,area,0,630.0,261.0,628.0,459.0,244.0,321.0,506.0,329.0,397.0,587.0,569.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,1,599.0,279.0,657.0,531.0,264.0,307.0,497.0,354.0,418.0,654.0,726.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,2,626.0,,588.0,481.0,,,613.0,,505.0,570.0,741.0,531.0,323.0,282.0,275.0,576.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,3,686.0,,647.0,439.0,,,635.0,,511.0,478.0,666.0,417.0,315.0,287.0,355.0,663.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,4,609.0,,683.0,532.0,,,731.0,,484.0,491.0,737.0,490.0,327.0,319.0,373.0,674.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,5,689.0,,559.0,560.0,,,759.0,,579.0,531.0,719.0,511.0,346.0,332.0,365.0,750.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,6,743.0,,583.0,549.0,,,636.0,,631.0,499.0,795.0,524.0,365.0,302.0,383.0,678.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,7,827.0,,741.0,559.0,,,645.0,,589.0,510.0,778.0,508.0,324.0,331.0,444.0,651.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,8,740.0,,660.0,492.0,,,602.0,,546.0,469.0,771.0,507.0,416.0,302.0,440.0,733.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,9,756.0,,724.0,585.0,,,615.0,,653.0,527.0,723.0,597.0,418.0,346.0,524.0,641.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,10,787.0,,685.0,555.0,,,630.0,,571.0,468.0,733.0,438.0,,,504.0,,441.0,379.0,781.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,11,761.0,,688.0,657.0,,,677.0,,618.0,481.0,668.0,515.0,,,444.0,,579.0,438.0,770.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,12,,,577.0,550.0,,,529.0,,482.0,559.0,706.0,309.0,,,,,295.0,273.0,472.0,283.0,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,13,,,616.0,438.0,,,518.0,,452.0,600.0,627.0,,,,,,296.0,,466.0,,348.0,246.0,312.0,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,14,,,675.0,520.0,,,580.0,,454.0,700.0,691.0,,,,,,290.0,,476.0,,330.0,136.0,343.0,106.0,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,15,,,600.0,510.0,,,586.0,,434.0,756.0,695.0,,,,,,249.0,,511.0,,279.0,160.0,,,254.0,256.0,151.0,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,16,,,615.0,537.0,,,528.0,,486.0,618.0,673.0,,,,,,,,487.0,,292.0,153.0,,,272.0,228.0,176.0,329.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,17,,,551.0,500.0,,,595.0,,525.0,566.0,714.0,,,,,,,,570.0,,289.0,175.0,,,306.0,270.0,157.0,296.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,area,18,,,540.0,508.0,,,607.0,,545.0,598.0,666.0,,,,,,,,645.0,,349.0,198.0,,,,363.0,,290.0,418.0,223.0,
nuc,/home/data/HeLa/Set0_2/processed/*,area,19,,,542.0,580.0,,,559.0,,568.0,602.0,696.0,,,,,,,,689.0,,281.0,178.0,,,,240.0,,,398.0,293.0,435.0
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,1,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,2,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,3,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,4,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,5,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,6,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,7,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,8,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,9,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,10,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,,,15.0,,17.0,18.0,19.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,11,1.0,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,,,15.0,,17.0,18.0,19.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,12,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,,,,,17.0,18.0,19.0,20.0,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,13,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,23.0,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,14,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,23.0,24.0,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,15,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,,,25.0,26.0,27.0,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,16,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,25.0,26.0,27.0,28.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,17,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,25.0,26.0,27.0,28.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,18,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,,26.0,,28.0,29.0,30.0,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,19,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,,26.0,,,29.0,30.0,31.0
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,0,638.0,266.0,656.0,474.0,256.0,327.0,529.0,330.0,400.0,596.0,581.0,,,,,,,,,,,,,,,,,,,,
